cylinders,displacement,horsepower,weight,acceleration,model year,origin,sqrt_cylinders,log_cylinders,sqrt_displacement,log_displacement,sqrt_horsepower,log_horsepower,sqrt_weight,log_weight,sqrt_acceleration,log_acceleration,sqrt_model year,log_model year,sqrt_origin,log_origin,amc,audi,bmw,buick,cadillac,capri,chevroelt,chevrolet,chevy,chrysler,datsun,dodge,fiat,ford,hi,honda,maxda,mazda,mercedes,mercedes-benz,mercury,nissan,oldsmobile,opel,peugeot,plymouth,pontiac,renault,saab,subaru,toyota,toyouta,triumph,vokswagen,volkswagen,volvo,vw
4.0,108.0,94.0,2379,16.5,73,3,2.0,1.3862943611198906,10.392304845413264,4.68213122712422,9.695359714832659,4.543294782270004,48.774993593028796,7.774435510302958,4.06201920231798,2.803360380906535,8.54400374531753,4.290459441148391,1.7320508075688772,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.0,200.0,85.0,2587,16.0,70,1,2.449489742783178,1.791759469228055,14.142135623730951,5.298317366548036,9.219544457292887,4.442651256490317,50.86255990411808,7.8582541821860294,4.0,2.772588722239781,8.366600265340756,4.248495242049359,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,119.0,92.0,2434,15.0,80,3,2.0,1.3862943611198906,10.908712114635714,4.77912349311153,9.591663046625438,4.5217885770490405,49.33558553417604,7.797291273547472,3.872983346207417,2.70805020110221,8.94427190999916,4.382026634673881,1.7320508075688772,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.0,199.0,90.0,2648,15.0,70,1,2.449489742783178,1.791759469228055,14.106735979665885,5.293304824724492,9.486832980505138,4.499809670330265,51.45872132107443,7.881559917056899,3.872983346207417,2.70805020110221,8.366600265340756,4.248495242049359,1.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.0,250.0,100.0,3336,17.0,74,1,2.449489742783178,1.791759469228055,15.811388300841896,5.521460917862246,10.0,4.605170185988092,57.758116312774604,8.112527763478637,4.123105625617661,2.833213344056216,8.602325267042627,4.30406509320417,1.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,91.0,68.0,1970,17.6,82,3,2.0,1.3862943611198906,9.539392014169456,4.51085950651685,8.246211251235321,4.219507705176107,44.384682042344295,7.585788821732034,4.1952353926806065,2.8678989020441064,9.055385138137417,4.406719247264253,1.7320508075688772,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,115.0,95.0,2694,15.0,75,2,2.0,1.3862943611198906,10.723805294763608,4.74493212836325,9.746794344808963,4.553876891600541,51.90375708944392,7.898782356970309,3.872983346207417,2.70805020110221,8.660254037844387,4.31748811353631,1.4142135623730951,0.6931471805599453,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,151.0,88.0,2740,16.0,77,1,2.0,1.3862943611198906,12.288205727444508,5.017279836814924,9.38083151964686,4.477336814478207,52.3450093132096,7.9157131993821155,4.0,2.772588722239781,8.774964387392123,4.343805421853684,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4.0,85.0,52.0,2035,22.2,76,1,2.0,1.3862943611198906,9.219544457292887,4.442651256490317,7.211102550927978,3.9512437185814275,45.110974274559844,7.618251097876695,4.711687595755898,3.100092288878234,8.717797887081348,4.330733340286331,1.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,97.0,78.0,2190,14.1,77,2,2.0,1.3862943611198906,9.848857801796104,4.574710978503383,8.831760866327848,4.356708826689592,46.79743582719036,7.691656822810547,3.7549966711037173,2.6461747973841225,8.774964387392123,4.343805421853684,1.4142135623730951,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6.0,250.0,72.0,3432,21.0,75,1,2.449489742783178,1.791759469228055,15.811388300841896,5.521460917862246,8.48528137423857,4.276666119016055,58.58327406350724,8.140898460607852,4.58257569495584,3.044522437723423,8.660254037844387,4.31748811353631,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,105.0,63.0,2215,14.9,81,1,2.0,1.3862943611198906,10.246950765959598,4.653960350157523,7.937253933193772,4.143134726391533,47.06378650300037,7.703007682479236,3.8600518131237567,2.7013612129514133,9.0,4.394449154672439,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.0,112.0,88.0,2640,18.6,82,1,2.0,1.3862943611198906,10.583005244258363,4.718498871295094,9.38083151964686,4.477336814478207,51.38093031466052,7.878534196140362,4.312771730569565,2.9231615807191558,9.055385138137417,4.406719247264253,1.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,107.0,86.0,2464,15.5,76,2,2.0,1.3862943611198906,10.344080432788601,4.672828834461906,9.273618495495704,4.454347296253507,49.63869458396343,7.80954132465341,3.9370039370059056,2.740840023925201,8.717797887081348,4.330733340286331,1.4142135623730951,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,121.0,112.0,2868,15.5,73,2,2.0,1.3862943611198906,11.0,4.795790545596741,10.583005244258363,4.718498871295094,53.55371135598354,7.961370201719511,3.9370039370059056,2.740840023925201,8.54400374531753,4.290459441148391,1.4142135623730951,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,98.0,76.0,2144,14.7,80,2,2.0,1.3862943611198906,9.899494936611665,4.584967478670572,8.717797887081348,4.330733340286331,46.3033476111609,7.670428522190693,3.8340579025361627,2.6878474937846906,8.94427190999916,4.382026634673881,1.4142135623730951,0.6931471805599453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8.0,305.0,145.0,3880,12.5,77,1,2.8284271247461903,2.0794415416798357,17.46424919657298,5.720311776607412,12.041594578792296,4.976733742420574,62.289646009589745,8.263590432617319,3.5355339059327378,2.5257286443082556,8.774964387392123,4.343805421853684,1.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,98.0,83.0,2219,16.5,74,2,2.0,1.3862943611198906,9.899494936611665,4.584967478670572,9.1104335791443,4.418840607796598,47.10626285325551,7.704811922932594,4.06201920231798,2.803360380906535,8.602325267042627,4.30406509320417,1.4142135623730951,0.6931471805599453,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,108.0,93.0,2391,15.5,74,3,2.0,1.3862943611198906,10.392304845413264,4.68213122712422,9.643650760992955,4.532599493153256,48.8978527135906,7.779466967458324,3.9370039370059056,2.740840023925201,8.602325267042627,4.30406509320417,1.7320508075688772,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.0,85.0,65.0,2020,19.2,79,3,2.0,1.3862943611198906,9.219544457292887,4.442651256490317,8.06225774829855,4.174387269895637,44.94441010848846,7.61085279039525,4.381780460041329,2.954910279033736,8.888194417315589,4.3694478524670215,1.7320508075688772,1.0986122886681098,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.0,232.0,100.0,3288,15.5,71,1,2.449489742783178,1.791759469228055,15.231546211727817,5.44673737166631,10.0,4.605170185988092,57.3410847473258,8.098034756176071,3.9370039370059056,2.740840023925201,8.426149773176359,4.2626798770413155,1.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.0,351.0,138.0,3955,13.2,79,1,2.8284271247461903,2.0794415416798357,18.734993995195193,5.860786223465865,11.74734012447073,4.927253685157205,62.8887907341205,8.282735880201754,3.63318042491699,2.580216829592325,8.888194417315589,4.3694478524670215,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.0,350.0,145.0,4055,12.0,76,1,2.8284271247461903,2.0794415416798357,18.708286933869708,5.857933154483459,12.041594578792296,4.976733742420574,63.67888189973188,8.307705966549513,3.4641016151377544,2.4849066497880004,8.717797887081348,4.330733340286331,1.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6.0,225.0,100.0,3630,17.7,77,1,2.449489742783178,1.791759469228055,15.0,5.41610040220442,10.0,4.605170185988092,60.249481325568276,8.196987927258897,4.207136793592526,2.8735646395797834,8.774964387392123,4.343805421853684,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
